AccountID,AssetClassID,BenchmarkID,Rank
1096,NULL,94,1
1097,NULL,94,1
1098,NULL,94,1
1099,NULL,94,1
1100,NULL,94,1
1101,NULL,94,1
1102,NULL,94,1
1103,NULL,94,1
1104,NULL,94,1
1105,NULL,94,1
1106,NULL,94,1
1107,NULL,85,1
1108,NULL,85,1
1110,NULL,85,1
1114,NULL,85,1
1116,NULL,85,1
1117,NULL,94,1
1118,NULL,85,1
1119,NULL,85,1
1120,NULL,85,1
1121,NULL,85,1
1122,NULL,85,1
1125,NULL,56,1
1126,NULL,128,2
1126,NULL,130,1
1127,NULL,128,50
1127,NULL,147,1
1127,NULL,149,2
1128,NULL,128,2
1128,NULL,130,1
1129,NULL,118,2
1129,NULL,123,1
1130,NULL,115,2
1130,NULL,117,1
1130,NULL,144,3
1130,NULL,146,4
1131,NULL,144,1
1131,NULL,146,2
1132,NULL,144,1
1132,NULL,146,2
1133,NULL,144,1
1133,NULL,146,2
1134,NULL,144,3
1134,NULL,146,4
1135,NULL,115,1
1135,NULL,117,2
1135,NULL,144,50
1136,NULL,115,2
1136,NULL,117,1
1136,NULL,144,4
1136,NULL,146,3
1137,NULL,115,1
1137,NULL,117,2
1137,NULL,144,3
1137,NULL,146,4
1138,NULL,133,1
1138,NULL,135,2
1139,NULL,133,1
1139,NULL,135,2
1140,NULL,133,1
1140,NULL,135,2
1141,NULL,133,1
1141,NULL,135,2
1142,NULL,133,1
1143,NULL,115,2
1143,NULL,117,1
1143,NULL,144,4
1143,NULL,146,3
1144,NULL,115,2
1144,NULL,117,1
1144,NULL,144,4
1144,NULL,146,3
1145,NULL,82,1
1145,NULL,166,2
1146,NULL,82,1
1146,NULL,166,2
1147,NULL,82,1
1147,NULL,166,2
1148,NULL,82,1
1148,NULL,166,2
1149,NULL,82,1
1149,NULL,166,2
1150,NULL,82,1
1150,NULL,166,2
1151,NULL,82,1
1151,NULL,166,2
1152,NULL,82,1
1152,NULL,166,2
1153,NULL,82,1
1153,NULL,166,2
1154,NULL,82,1
1154,NULL,166,2
1155,NULL,82,1
1155,NULL,166,2
1156,NULL,82,1
1156,NULL,166,2
1157,NULL,82,1
1157,NULL,166,2
1158,NULL,82,1
1158,NULL,166,2
1159,NULL,82,1
1159,NULL,166,2
1160,NULL,82,1
1160,NULL,166,2
1161,NULL,82,1
1161,NULL,166,2
1162,NULL,82,1
1162,NULL,166,2
1163,NULL,82,1
1163,NULL,166,2
1164,NULL,82,1
1164,NULL,166,2
1165,NULL,82,1
1165,NULL,166,2
1166,NULL,82,1
1166,NULL,166,2
1167,NULL,82,1
1167,NULL,166,2
1168,NULL,82,1
1168,NULL,166,2
1169,NULL,82,1
1169,NULL,166,50
1170,NULL,82,2
1170,NULL,166,1
1171,NULL,82,1
1171,NULL,166,2
1172,NULL,82,1
1172,NULL,166,2
1173,NULL,82,1
1173,NULL,166,50
1174,NULL,82,2
1174,NULL,166,50
1175,NULL,82,1
1175,NULL,166,50
1176,NULL,82,1
1176,NULL,166,2
1177,NULL,82,1
1177,NULL,166,2
1178,NULL,82,1
1178,NULL,166,2
1179,NULL,82,1
1179,NULL,166,2
1180,NULL,82,1
1180,NULL,166,2
1181,NULL,82,1
1181,NULL,166,50
1182,NULL,82,1
1182,NULL,166,50
1183,NULL,82,1
1183,NULL,166,2
1184,NULL,82,1
1184,NULL,166,2
1185,NULL,82,1
1185,NULL,166,2
1186,NULL,82,1
1186,NULL,166,2
1188,NULL,82,1
1188,NULL,166,2
1191,NULL,82,1
1191,NULL,166,2
1192,NULL,82,1
1192,NULL,166,2
1193,NULL,82,1
1193,NULL,166,2
1194,NULL,82,1
1194,NULL,166,2
1195,NULL,82,1
1195,NULL,166,2
1196,NULL,57,2
1196,NULL,82,1
1196,NULL,166,50
1197,NULL,82,1
1197,NULL,166,2
1198,NULL,82,1
1198,NULL,166,2
1199,NULL,82,1
1199,NULL,166,2
1200,NULL,82,1
1200,NULL,166,2
1201,NULL,82,1
1201,NULL,166,2
1202,NULL,82,1
1202,NULL,166,2
1203,NULL,82,1
1203,NULL,166,2
1204,NULL,82,1
1204,NULL,166,2
1205,NULL,82,1
1205,NULL,166,50
1206,NULL,82,1
1206,NULL,166,2
1207,NULL,82,1
1207,NULL,166,2
1208,NULL,82,1
1208,NULL,166,2
1209,NULL,82,2
1209,NULL,166,1
1210,NULL,166,50
1211,NULL,166,50
1212,NULL,166,1
1213,NULL,166,50
1214,NULL,166,50
1215,NULL,166,50
1216,NULL,166,50
1217,NULL,166,50
1218,NULL,166,50
1219,NULL,166,50
1220,NULL,166,50
1221,NULL,166,1
